,user_id,artist_name,track_name,playlist_name
4591791,bb8f866084c2f79b89490ebb97f0984d,Nikka Costa,Chase The Thrill,Starred
5213445,87386c55bd6c3f199a989460a65281d7,Def Leppard,Let It Go,SALA DE ESPERA
388894,74e2bbe7d6c20c1c5cc53d0fb67db2f6,Rick Ross,Nobody,NBA PreGame
2121304,d8cee6c944edc73854805b08847aa43d,Manu Chao,Promiscuity,Manu Chao - Próxima Estación: Esperanza
10693819,1a61d065cb9aa460f030995f8e74a09a,Kyuss,Molten Universe,Kyuss - Blues For The Red Sun
2282912,2b3434e8ada0ee6cd9a85b032a7994dd,Bob Marley & The Wailers,Is This Love - Montmartre Remix,Fakkin fin
2792345,7ee2b92c5bcf6133b8132363e5bda960,Les McCann,Someday We'll Meet Again,My stuff nin part
6610861,4398de6902abde3351347b048fcdc287,Salim Nourallah,Warriors of Love,Library & Streams (Part 6)
12148074,3592acf05f862647b7c1c3b2e9ccb153,The New Pornographers,The Bleeding Heart Show,Work
986562,1110040a3114b27b564547255bbce924,Trance Arts,Ballistic - Original Mix,Top Tracks n_n
