,user_id,artist_name,track_name,playlist_name
7533514,85f6b2380dd3e7d1071a9b9c121dd9e8,John Olav Nilsen & Gjengen,Hull I Himmelen,Starred
8312089,51c4a3f722bd23bbec2da8a6bef615ee,Steve Miller Band,The Joker,General Bardov
11722609,b0e17212831f99d233ed5dfe304d0ade,Cat Power,Sun,Free Press Summer Fest 2013
2052846,9978a71ae50e048b22410c17e527629c,Los Secretos,Pero a tu lado - Las Ventas 08,Zumo de naranja e ibuprofeno
2585858,be6b4ddde0e82010255490d2d808fac4,John Grant,T C & Honeybear,John Grant - John Grant and the BBC Philharmonic Orchestra : Live in Concert
7953346,11ed7eb33791f3cb8f75a815e551f0f2,"Sun Ra, Nu Sounds",Honky Tonk,Sun Ra
8214555,beb8530bf251d9e3899e3da6b706ccf1,Circa Survive,Carry Us Away,newnewcd
10342901,6aa41bd4576d35659bb3157c92949fd3,Arcade Fire,Modern Man,Arcade Fire – The Suburbs
766542,225326284c1823caa1d89a5debfb0505,London Philharmonic Orchestra,Carmina Burana: O Fortuna,Classique.
722150,b6aa71954fff8e8f0f37785a8b9d65f1,Massive Attack,I Want You,Collected
