,song,artists,weeks_at_number_one
0,"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,19
1,"""Despacito""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,16
2,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,14
3,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,12
4,"""See You Again""",Wiz Khalifa featuring Charlie Puth,12
5,"""Closer""",The Chainsmokers featuring Halsey,12
6,"""Shape of You""",Ed Sheeran,12
7,"""God's Plan""",Drake,11
8,"""We Found Love""",Rihanna featuring Calvin Harris,10
9,"""Happy""",Pharrell Williams,10
10,"""Hello""",Adele,10
11,"""One Dance""",Drake featuring Wizkid and Kyla,10
12,"""In My Feelings""",Drake,10
