,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist
0,0.53,0.77,4,-6.633,0,0.0389,0.284,0.501,0.744,0.623,120.144,225696,False,2,No Regrets,James Reeder
1,0.565,0.73,1,-6.063,1,0.073,0.365,0.0,0.237,0.511,130.026,158093,False,2,Wild Life,James Reeder
2,0.427,0.546,4,-8.727,1,0.0849,0.539,0.0152,0.368,0.435,78.345,167262,False,2,Fangs,James Reeder
3,0.421,0.531,7,-5.516,1,0.0262,0.706,0.000208,0.11,0.383,85.08,236832,False,2,Afterburner,James Reeder
4,0.537,0.804,8,-7.378,0,0.157,0.379,0.000489,0.323,0.543,139.95,239400,False,2,Hellfire Rising,James Reeder
5,0.71,0.621,9,-7.879,0,0.0329,0.405,0.0019,0.103,0.546,125.985,194560,False,2,Hurricane,James Reeder
6,0.419,0.821,11,-5.768,0,0.0431,0.0137,0.00365,0.127,0.343,80.031,195288,False,2,Trapdoor,James Reeder
7,0.565,0.624,1,-5.718,1,0.0351,0.00442,0.221,0.108,0.655,123.927,211043,False,2,Demon,James Reeder
8,0.547,0.56,0,-7.187,1,0.051,0.551,0.179,0.137,0.354,169.878,182184,False,2,Rusty Barracuda,James Reeder
9,0.533,0.785,5,-5.466,1,0.0481,0.591,0.0,0.162,0.521,89.826,120936,False,2,Night on Fire,James Reeder
10,0.482,0.369,2,-7.637,0,0.0412,0.75,0.00653,0.105,0.246,74.396,206544,False,2,Kentucky Banshee,James Reeder
11,0.589,0.659,2,-7.491,1,0.0516,0.104,0.00919,0.163,0.47,140.172,164208,False,2,The Devil in a Long Black Lincoln,James Reeder
12,0.573,0.816,0,-7.263,1,0.0419,0.00347,0.814,0.244,0.608,119.983,74064,False,2,Satania,James Reeder
13,0.441,0.855,0,-5.049,1,0.0602,0.00012,0.00014,0.142,0.201,138.777,188960,False,13,Stupid Girl,Cold
14,0.46,0.548,5,-8.914,1,0.035,0.185,0.0865,0.223,0.126,138.73,291147,False,5,Stupid Girl - Life So Long Mix,Cold
15,0.708,0.499,10,-10.249,1,0.0549,0.00461,0.0873,0.106,0.377,95.986,166520,True,14,Essence,TG
16,0.67,0.933,11,-6.248,0,0.0674,0.0154,0.236,0.513,0.876,131.984,382933,False,14,Gravity's Rainbow - Soulwax Remix,Klaxons
17,0.888,0.568,1,-11.802,0,0.292,0.0241,0.0,0.134,0.572,140.03,183972,True,14,How You Do It,TG
18,0.653,0.73,2,-10.229,0,0.0567,0.793,0.904,0.325,0.898,118.139,253893,False,3,Pa' Gozar,Gilles Peterson's Havana Cultura Band
19,0.729,0.751,5,-8.231,1,0.0416,0.548,0.345,0.0804,0.824,116.063,214987,False,5,Arroz Con Pollo,Gilles Peterson's Havana Cultura Band
20,0.717,0.949,5,-7.642,0,0.0625,0.186,0.716,0.158,0.881,125.001,365667,False,3,Roforofo Fight (feat. Mayra Caridad Valdés),Gilles Peterson's Havana Cultura Band
21,0.646,0.745,7,-6.919,1,0.153,0.103,0.0849,0.143,0.689,120.037,394253,False,2,"Ipacuba (feat. Danay Suárez, Francis Del Río, Vince Vella & Julio Padrón)",Gilles Peterson's Havana Cultura Band
22,0.596,0.664,6,-8.661,1,0.258,0.28,0.000979,0.0727,0.661,125.907,272773,False,0,"La Revolución Del Cuerpo, Pt. 1 (feat. Ogguere, Danay Suárez & Obsesión)",Gilles Peterson's Havana Cultura Band
23,0.907,0.73,1,-11.24,0,0.0737,0.032,0.0103,0.0639,0.835,129.295,434507,False,0,"La Revolución Del Cuerpo, Pt. 2 (feat. Roberto Fonseca)",Gilles Peterson's Havana Cultura Band
24,0.682,0.588,1,-8.829,1,0.0635,0.961,0.000147,0.0997,0.696,149.617,260733,False,6,Lágrimas De Soledad (No Existen Palabras) [feat. Danay Suárez],Gilles Peterson's Havana Cultura Band
25,0.534,0.491,4,-9.524,0,0.0626,0.609,0.0366,0.0974,0.722,141.887,374280,False,3,Think Twice (feat. Danay Suarez & Obsesión),Gilles Peterson's Havana Cultura Band
26,0.769,0.921,5,-7.44,0,0.046,0.768,0.146,0.344,0.565,115.012,333147,False,0,Chekere Son (feat. Mayra Caridad Valdés),Gilles Peterson's Havana Cultura Band
27,0.712,0.579,10,-10.011,0,0.044,0.566,0.865,0.112,0.802,97.341,231160,False,0,Afrodisia,Gilles Peterson's Havana Cultura Band
